situation,clue,thought,polarity
I need to buy a new pair of shoes . , I have size 14 feet . , I will never find a comfortable pair . ,0
I need to buy a new pair of shoes . , I have a wide foot . , I will never find a comfortable pair . ,0
I need to buy a new pair of shoes . , the shoes are too expensive . , I will not have enough money . ,0
I need to buy a new pair of shoes . , I spend too much money on unnecessary things . , I will not have enough money . ,0
I need to buy a new pair of shoes . , my salary is not high . , I will not have enough money . ,0
I need to buy a new pair of shoes . , my feet are so big . , I won't be able to find any that fit . ,0
I need to buy a new pair of shoes . , I have a limited budget . , they will be too expensive . ,0
I need to buy a new pair of shoes . , I need to save money for my phone bill . , they will be too expensive . ,0
I continued to drive despite the warnings . , it was in such poor condition . , my car would be totaled . ,0
I continued to drive despite the warnings . , the streets were flooded . , I will damage the car . ,0
I continued to drive despite the warnings . , the roads were icy . , I will damage the car . ,0
I continued to drive despite the warnings . , it was raining very hard . , I would have an accident . ,0
I continued to drive despite the warnings . , I was driving recklessly . , I would have an accident . ,0
I continued to drive despite the warnings . , the  car  was  not  in  good  condition . , I would have an accident . ,0
I continued to drive despite the warnings . , the weather was very bad . , I may get into an accident . ,0
I continued to drive despite the warnings . , the conditions were hazardous . , I may get into an accident . ,0
I continued to drive despite the warnings . , the car wasn't in the best condition . , I may get into an accident . ,0
The students crowd around the table to get a better view of the experiment . , I am short . , I will be pushed . ,0
The students crowd around the table to get a better view of the experiment . , I am too short . , I will be stepped on . ,0
The students crowd around the table to get a better view of the experiment . , I am the shortest person in our class . , I will be stepped on . ,0
The students crowd around the table to get a better view of the experiment . , I'm too short . , I will not be able to see . ,0
The students crowd around the table to get a better view of the experiment . , Other studnets  are too tall . , I will not be able to see . ,0
The students crowd around the table to get a better view of the experiment . , the table is quite old . , the table will collapse . ,0
The students crowd around the table to get a better view of the experiment . , the table is old and rusty . , the table will collapse . ,0
The students crowd around the table to get a better view of the experiment . , it is overloaded . , the table will collapse . ,0
I decided to go on a hike with my friends . , I  didn't  bring  a  map . , I  would  get  lost . ,0
I decided to go on a hike with my friends . , I  don't  know  the  area  well . , I  would  get  lost . ,0
